City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
464,Whitehorse,CA,60.03,broken clouds,60.7161,-135.0538,The Sternwheeler Hotel & Conference Centre
465,Vila Franca Do Campo,PT,73.2,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
466,Lashio,MM,71.2,overcast clouds,22.9333,97.75,Hotel CF Lashio - Burmese Only
468,Bayan,CN,60.03,overcast clouds,46.0833,127.4,Wanhao Inn
469,Cockburn Town,TC,83.35,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
470,Atikokan,CA,61.88,clear sky,48.7555,-91.6216,Quetico Inn (formerly Radisson)
473,Bhuj,IN,79.99,overcast clouds,23.2667,69.6667,Regenta Resort Bhuj
474,Ayagoz,KZ,67.5,clear sky,47.9714,80.4392,Gostinitsa Nur
475,Apeldoorn,NL,69.03,moderate rain,52.21,5.9694,Hotel et le Café de Paris
477,Kashi,CN,69.01,clear sky,39.4547,75.9797,帕米尔青年旅舍
479,Faya,SA,68.11,clear sky,18.3851,42.4509,املاك خالد الشعشوع
480,Mori,JP,79.65,overcast clouds,34.8333,137.9333,YAMAHA Resort Hotel Katsuragi Kitanomaru
482,Axim,GH,74.71,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
483,Meulaboh,ID,77.27,overcast clouds,4.1363,96.1285,Kost Pria
484,Tabuk,PH,81.63,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
485,Badou,TG,70.21,broken clouds,7.5833,0.6,Hôtel Abuta
486,Rurrenabaque,BO,71.53,clear sky,-14.4413,-67.5278,Casa de Campo
488,Niksar,TR,62.71,overcast clouds,40.5917,36.9517,Nuri Park Hotel
489,Prince Rupert,CA,62.69,clear sky,54.3161,-130.3201,Crest Hotel
490,Koudougou,BF,76.53,broken clouds,12.25,-2.3667,VAREK OCADES
494,Corralillo,CU,79.9,clear sky,22.9819,-80.5856,Hostal De Pedri
497,Karatau,KZ,70.39,clear sky,43.1667,70.4667,Baza Zika
498,Limoux,FR,71.71,overcast clouds,42.9167,2.1667,Vayamundo l'Espinet
499,Richards Bay,ZA,66.74,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
503,Chapais,CA,55.18,clear sky,49.7834,-74.8492,Hôtel Opémiska
504,Sampit,ID,79.38,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
505,Zunyi,CN,71.96,few clouds,27.6867,106.9072,Bishiluo Hostel
506,Dwarka,IN,79.66,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
507,Kijini,TZ,73.35,broken clouds,-5.85,39.3167,Green and Blue Ocean Lodge
508,Angoche,MZ,68.99,clear sky,-16.2325,39.9086,Guest House HESADA
511,Belfast,GB,62.42,light rain,54.5833,-5.9333,Wellington Park Hotel
512,Cravo Norte,CO,74.05,broken clouds,6.3017,-70.2041,Hotel Potosí Los Mirtos
514,Yenagoa,NG,74.12,light rain,4.9247,6.2642,Aridolf Resort Wellness and Spa
517,Zhezkazgan,KZ,66.18,clear sky,47.8043,67.7144,Hotel Zumrat
518,Praia Da Vitoria,PT,73.76,scattered clouds,38.7333,-27.0667,Hotel Branco I
519,Chiang Rai,TH,79.0,scattered clouds,19.9167,99.9167,Imsuk Homestay at Chiang Rai
520,Zhoucheng,CN,76.98,clear sky,35.9122,116.3117,Yingbin Restaurant
